vA,aA,aA0,vB,aB,aB0,h0,cross,x1,x2
4.610433819,-0.249430527,22.2984498,9.433991732,-1.335140669,-2.862962811,3.679836953,0,2,1
3.44836193,-0.083130671,-0.011216906,4.00535891,-0.745142778,-0.49309105,18.42502646,0,2,1
3.407770532,-0.166284386,8.37145312,5.225753534,-1.07360746,-1.182288438,2.432632319,0,2,1
2.881405907,-0.249876736,4.102795342,4.606658225,-0.589182298,-1.24182063,1.350333292,0,2,1
5.873074152,-0.340944316,2.343714322,5.397962579,0.782837936,-1.83278469,5.755692834,0,2,1
4.023555641,-0.767440078,2.375354048,6.130097879,0.515875237,-2.691037154,2.146671843,0,2,1
0.802246845,-0.670940181,-0.106474512,6.691644043,0.182268118,-0.822043083,13.43296319,0,2,1
0.323109888,0.185736936,0.249766785,6.897724262,0.175333985,-0.358647032,14.40915334,0,2,1
4.667247583,-0.249609275,4.096616017,7.017364178,0.731574017,-1.853186816,8.630283889,0,2,1
0.610327781,0.333165323,1.301952307,6.897724262,-0.24826276,-0.601861726,6.920325137,0,2,1
4.653181707,-0.083096756,2.931033312,6.350590524,0.237633307,-1.56913748,9.321507389,0,2,1
4.439481952,-0.260047039,4.399100314,6.350944812,-0.248380615,-1.995662993,5.020766874,0,2,1
6.205199433,-0.174543613,1.686535834,5.103577177,0.762638854,-1.800046858,5.671833919,0,2,1
5.572477008,-0.852070776,1.947955412,5.198124662,0.754599343,-2.690527105,1.796106901,0,2,1
5.760034722,-0.077753479,0.940065992,6.795123251,0.671684708,-1.702077142,13.88481185,0,2,1
4.764630101,-0.329214701,33.48755845,7.749354812,0.597234493,-2.318469149,0.878009112,0,2,1
3.428410711,-0.670840957,20.33890581,8.12996925,0.092086188,-2.294016711,1.431362987,0,2,1
1.32196823,0.276725299,-0.53894864,7.427651042,1.767065876,-1.300829698,19.49923332,0,2,1
2.655447232,-0.171540053,12.77311531,7.903783904,0.150809882,-1.371808164,5.243891685,0,2,1
1.461232357,0.091190872,3.414977653,9.192388155,0.828635066,-1.40807119,9.484265918,0,2,1
